iter	Passed	Remaining
402	10866	16097
403	10893	16070
404	10918	16040
405	10944	16012
406	10969	15982
407	10996	15955
408	11022	15927
409	11049	15900
410	11077	15874
411	11101	15843
412	11128	15816
413	11157	15793
414	11181	15762
415	11207	15734
416	11235	15707
417	11262	15681
418	11288	15652
419	11316	15627
420	11341	15597
421	11366	15567
422	11391	15538
423	11417	15510
424	11441	15479
425	11486	15477
426	11521	15460
427	11550	15435
428	11576	15408
429	11600	15377
430	11629	15353
431	11653	15321
432	11679	15293
433	11706	15266
434	11731	15238
435	11757	15209
436	11783	15180
437	11808	15151
438	11839	15129
439	11863	15098
440	11891	15073
441	11919	15047
442	11944	15017
443	11968	14987
444	11993	14957
445	12020	14931
446	12044	14901
447	12066	14867
448	12095	14843
449	12122	14816
450	12148	14788
451	12176	14762
452	12200	14732
453	12227	14705
454	12252	14676
455	12277	14646
456	12302	14618
457	12328	14589
458	12353	14560
459	12381	14535
460	12408	14508
461	12435	14480
462	12461	14453
463	12487	14425
464	12515	14399
465	12541	14371
466	12571	14348
467	12595	14318
468	12620	14288
469	12646	14260
470	12674	14234
471	12703	14210
472	12729	14182
473	12754	14153
474	12780	14125
475	12804	14095
476	12831	14068
477	12857	14041
478	12882	14012
479	12906	13982
480	12932	13954
481	12962	13930
482	12989	13903
483	13015	13875
484	13039	13846
485	13066	13819
486	13091	13790
487	13116	13761
488	13143	13734
489	13171	13708
490	13196	13680
491	13222	13652
492	13252	13628
493	13278	13601
494	13308	13577
495	13332	13547
496	13359	13521
497	13386	13493
498	13411	13464
499	13435	13435
500	13459	13406
501	13483	13376
502	13510	13349
503	13540	13325
504	13566	13297
505	13591	13268
506	13616	13240
507	13644	13214
508	13670	13186
509	13697	13160
510	13722	13131
511	13748	13104
512	13772	13074
513	13801	13049
514	13827	13022
515	13853	12994
516	13880	12967
517	13906	12940
518	13933	12913
519	13959	12885
520	13985	12858
521	14010	12829
522	14035	12800
523	14061	12773
524	14087	12745
525	14114	12719
526	14142	12692
527	14166	12663
528	14191	12635
529	14220	12610
530	14246	12582
531	14271	12554
532	14295	12525
533	14321	12497
534	14347	12470
535	14376	12444
536	14401	12417
537	14425	12387
538	14451	12359
539	14478	12333
540	14503	12305
541	14527	12276
542	14552	12247
543	14576	12218
544	14601	12190
545	14626	12161
546	14654	12136
547	14683	12111
548	14708	12082
549	14733	12054
550	14756	12025
551	14782	11997
552	14808	11969
553	14833	11942
554	14856	11912
555	14882	11884
556	14913	11861
557	14940	11834
558	14965	11806
559	14993	11780
560	15019	11753
561	15048	11728
562	15078	11703
563	15104	11676
564	15130	11649
565	15157	11622
566	15196	11605
567	15222	11577
568	15247	11549
