iter	Passed	Remaining
401	13091	19474
402	13114	19428
403	13143	19390
404	13172	19352
405	13202	19316
406	13230	19276
407	13260	19240
408	13293	19209
409	13327	19178
410	13362	19149
411	13392	19114
412	13424	19080
413	13459	19052
414	13488	19014
415	13515	18973
416	13538	18927
417	13568	18892
418	13598	18855
419	13630	18822
420	13657	18783
421	13685	18744
422	13714	18706
423	13741	18667
424	13768	18628
425	13794	18587
426	13818	18543
427	13851	18511
428	13880	18474
429	13904	18431
430	13933	18394
431	13961	18356
432	13989	18318
433	14018	18282
434	14046	18244
435	14075	18208
436	14100	18166
437	14124	18122
438	14152	18085
439	14183	18051
440	14215	18019
441	14245	17984
442	14271	17944
443	14297	17903
444	14323	17864
445	14355	17832
446	14385	17797
447	14409	17755
448	14436	17716
449	14461	17675
450	14484	17631
451	14517	17600
452	14545	17563
453	14575	17528
454	14601	17490
455	14627	17449
456	14655	17413
457	14682	17375
458	14711	17339
459	14738	17301
460	14763	17261
461	14788	17221
462	14821	17190
463	14848	17152
464	14880	17120
465	14910	17086
466	14941	17052
467	14969	17016
468	14997	16979
469	15027	16945
470	15054	16908
471	15079	16868
472	15107	16831
473	15136	16797
474	15162	16758
475	15194	16726
476	15224	16692
477	15253	16657
478	15278	16618
479	15307	16582
480	15336	16548
481	15361	16508
482	15386	16469
483	15416	16435
484	15442	16397
485	15471	16362
486	15497	16324
487	15524	16288
488	15552	16252
489	15582	16218
490	15608	16180
491	15638	16146
492	15663	16107
493	15686	16067
494	15721	16039
495	15749	16003
496	15780	15971
497	15808	15935
498	15836	15900
499	15865	15865
500	15890	15827
501	15917	15790
502	15946	15756
503	15970	15716
504	15994	15677
505	16025	15645
506	16054	15611
507	16086	15579
508	16115	15545
509	16143	15510
510	16174	15477
511	16203	15444
512	16229	15407
513	16256	15370
514	16280	15332
515	16304	15293
516	16335	15261
517	16367	15229
518	16398	15197
519	16427	15163
520	16454	15127
521	16481	15091
522	16512	15059
523	16539	15024
524	16564	14986
525	16588	14948
526	16619	14916
527	16645	14880
528	16671	14843
529	16702	14811
530	16734	14780
531	16764	14747
532	16796	14716
533	16829	14686
534	16860	14654
535	16887	14619
536	16911	14581
537	16942	14549
538	16968	14512
539	16997	14479
540	17026	14446
541	17051	14408
542	17078	14373
543	17106	14339
544	17136	14306
545	17167	14274
546	17198	14243
547	17227	14209
548	17260	14179
549	17293	14149
550	17322	14115
551	17349	14080
552	17379	14048
553	17407	14014
554	17431	13976
555	17460	13943
556	17487	13908
557	17512	13871
558	17541	13838
559	17570	13805
560	17599	13772
561	17629	13739
562	17656	13704
563	17681	13668
564	17713	13638
565	17744	13606
566	17774	13573
567	17803	13541
568	17830	13506
569	17866	13477
570	17895	13445
571	17926	13413
572	17957	13381
573	17988	13350
574	18015	13315
575	18043	13281
576	18072	13248
577	18099	13214
578	18122	13176
579	18147	13141
580	18184	13114
581	18211	13079
582	18237	13044
583	18269	13013
584	18298	12981
585	18326	12947
586	18355	12914
587	18383	12880
588	18413	12849
589	18442	12815
590	18473	12784
591	18500	12750
592	18524	12713
593	18555	12682
594	18586	12651
595	18614	12618
596	18643	12585
597	18672	12552
598	18702	12520
599	18734	12489
600	18769	12461
601	18802	12430
602	18832	12398
603	18857	12363
604	18887	12331
605	18914	12297
606	18942	12264
607	18971	12231
608	19000	12199
609	19030	12166
610	19058	12133
611	19086	12100
612	19114	12067
613	19140	12033
614	19172	12002
615	19198	11967
616	19222	11932
617	19253	11901
618	19280	11867
619	19310	11835
620	19341	11804
621	19371	11772
622	19402	11741
623	19430	11707
624	19459	11675
625	19488	11643
626	19513	11608
627	19541	11575
628	19574	11545
629	19602	11512
630	19633	11481
631	19660	11448
632	19692	11417
633	19721	11384
634	19752	11353
635	19784	11323
636	19815	11292
637	19847	11261
638	19876	11229
639	19908	11198
640	19936	11165
641	19963	11132
642	19991	11099
643	20021	11067
644	20051	11035
645	20076	11001
646	20107	10970
647	20130	10934
648	20161	10904
649	20187	10869
650	20212	10835
651	20247	10807
652	20273	10772
653	20305	10742
654	20332	10709
655	20356	10674
656	20385	10642
657	20412	10609
658	20441	10577
659	20470	10545
660	20494	10510
661	20517	10475
662	20548	10444
663	20578	10413
664	20607	10381
665	20633	10347
666	20660	10314
667	20688	10282
668	20720	10251
669	20751	10220
670	20777	10187
671	20804	10154
672	20829	10120
673	20852	10086
674	20883	10055
675	20914	10024
676	20946	9993
677	20978	9963
678	21009	9932
679	21043	9902
680	21076	9872
681	21109	9842
682	21136	9810
683	21162	9776
684	21188	9743
685	21217	9711
686	21246	9680
687	21275	9648
688	21304	9616
689	21338	9587
690	21370	9556
691	21401	9525
692	21434	9495
693	21467	9465
694	21495	9433
695	21526	9402
696	21557	9371
697	21584	9339
698	21613	9306
699	21642	9275
700	21672	9243
701	21700	9211
702	21730	9180
703	21761	9149
704	21784	9115
705	21808	9081
706	21841	9051
707	21869	9019
708	21901	8989
709	21930	8957
710	21959	8925
711	21991	8895
712	22017	8862
713	22047	8831
714	22077	8800
715	22106	8768
716	22133	8736
717	22156	8702
718	22180	8668
719	22212	8638
720	22242	8607
721	22271	8575
722	22300	8544
723	22329	8512
724	22357	8480
725	22387	8449
726	22419	8419
727	22449	8387
728	22475	8355
729	22499	8321
730	22524	8288
